Id (Donation Items),Donation Id,Description,Quantity
25030,15622,Pillsbury biscuits ,3
25031,15622,Grocery,5
25037,15675,Box,1
25038,15607,Bakery,3
25040,15632,Small box containing scones and ends of bread,1
25161,15716,Deli,3
25169,15712,Boxes Deli,1
25170,15715,H Half pan of prepared food ,1
25186,15711,Bag of prepared salad ,1
25187,15728,Baked Goods,2
25190,15766,Kgs F Frozen stuffing ,45
25191,15766,Bag bakery,31
25192,15766,X12oz drinks,12
25193,15766,X8oz yogurt andmilk,161629
25217,15784,Box,2
25325,15813,Utz chips,5
25348,15851, grocery bag size fresh fruit,1
25349,15851,Bottles juice,9
25370,15871,Boxes,2
25371,15878,Salads,7
25372,15878,Prepared items,4
25373,15878,Snack packs,3
25374,15878,Wraps,8
25375,15878,Bag of pastries,1
25439,15894,Meat,3
25447,15899,Grocery carts of baked goods,2
25448,15895,Deli,1
25449,15928,Bakery,2
25455,15922,Boxes Cans,1
25511,15939,Hot/Cold Food,2
25521,15965,Personal care,1
25601,16017,Dozen bagels,17
25618,15985,Deli,11
25620,16009,Grocery cart bakery items,1
25624,16033,Box dairy,1
25625,16036,Grixery carts if bread,2
25648,16050,Box,1
25721,16071,Box of danish & cookies,1
25722,16086,L Large bag of bagels ,1
25725,16099,Large bag of bagels,1
25730,16076,Cakes/Cookies ,2
25731,16069,Dairy,1
25833,16144,11 small bags chips,11
25834,16178,Bag of Bread,1
25835,16184,crates of whole milk,6
25837,16186,crates of white milk,2
25839,16141,Small box baked goods,1
25843,16140,Chicken pot pie,2
25844,16136,Prepared deli,2
25845,16136,Grocery,5
25846,16136,Dairy ,2
25858,16152,Boxes Baked Goods,3
25860,16197,crates of white milk,4
25861,16187,Box,1
25880,16188,Small cartons milk,6
25881,16188,Bottles of juice,4
25887,16202,Salad boxes,3
25988,16254,Large bag bread,1
25991,16239,Box deli,1
25996,16287,Kind Bars,1
26007,16275,Box peppers,1
26008,16275,Box apples,1
26009,16275,Box tomatoes,1
26011,16266,Baked Goods,2
26015,16290,Boxes dairy,2
26016,16290,Box bread,1
26021,16240,Small bags of bread,5
26045,16302,Box,1
26046,16293,Bags of baked goods,4
26123,16356,Baked Goods,2
26130,16341,Dairy,3
26142,16367,Cases of donuts,4
26152,16370,Bottles of iced tea,8
26163,16389,Prepared foods,9
26164,16389,Muffins,6
26165,16389,Salads,15
26166,16389,Sandwiches,3
26167,16389,Snack packs,5
26168,16385,Boxes,4
26248,16403,Frozen,1
26249,16406,Deli 1 box,1
26250,16404,Meat,3
26252,16444,"Baked goods, canned goods, miscellaneous",8
26316,16480,Mix of pastries,1
26394,16484,Bags bread ,2
26405,16487,Pastry boxes,7
26412,16508,Grocery cart bakery items,1
26510,16580,Box of danish & cookies,1
26513,16607,Bags of Bagels,2
26518,16584,Large bag bagels,1
26538,16614,Frozen sandwiches,2
26634,16653,Prepared,1
26635,16653,Frozen package ,2
26636,16653,2 yugarts 2 misc.,4
26645,16681,Boxes Bakery Goods,4
26772,16753,Bakery Items,1
26774,16739,Small bag of prepared salad and deli meat ,1
26816,16792,Bags of baked goods,2
26821,16812,Boxes of salads and sandwiches,2
26904,16834,Cakes,2
26920,16856,Birthday cake,1
26921,16876,Bakery,1
26922,16876,Fruits,1
26923,16876,Meats,8
26924,16844,Boxes bakery items,3
26943,16880,Bottles of raspberry tea,6
26944,16880,Heads of romaine lettuce,2
26945,16880,Dozen oranges,1
26946,16880,Apples,6
26971,16903,Snack packs,6
26972,16903,Prepared foods,8
26973,16903,Salads,13
26974,16903,Wraps,5
27051,16921,Meat (ham),4
27052,16926,Grocery cart of baked goods,1
27053,16922,Deli,1
27054,16922,Crackers,1
27055,16950,Box apples,1
27056,16950,Box bread,1
27225,17042,Dozen bagels,5
27226,17012,Boxes pastries,2
27230,17061,Boxes Assorted Bakery,2
27236,17016,Deli box,1
27266,17085,Boxes,5
27334,17108,Box if cookies & danish,1
27338,17105,Dairy,1
27378,17173,Box,1
27460,17188,Frozen,1
27461,17188,Misc dairy,1
27462,17188,Grocery,10
27465,17201,Box,1
27466,17194,Box of pastries/cookies,1
27470,17167,Cases raspberries,6
27479,17171,Hummus ,1
27480,17171,Baba ghoulish ,1
27489,17236,Box,1
27491,17158,Bakery,4
27497,17238,Bottles of various drinks,13
27611,17281,"Boxes deli, cold cuts",1
27621,17292,Bakery Items,3
27622,17331,Dairy,10
27632,17335,Tray of buns,1
27633,17333,Bags of baked goods,3
27642,17268,Apple juice,2
27650,17337,Case Pretzels,3
27657,17337,Chicken Salad trays,2
27658,17344,Case pretzels,3
27659,17344, trays chicken salad,2
27663,17282,Cases 12oz coca cola,45
27736,17374,Baked Goods,2
27758,17410,Fruits,6
27759,17367,Meats,2
27775,17414,Pieces of fruit ,10
27795,17438,Boxes,3
27796,17443,Prepared foods ,8
27797,17443,Muffins,6
27798,17443,Salads,9
27799,17443,Wraps,6
27800,17443,Snack packa,9
27877,17489,Small tray ready to eat,1
27879,17461,Boxes Meat,3
27880,17497,Bag baked goods,1
27881,17497,Large box baked goods,1
27882,17476,Grocery cart of baked goods,1
27883,17463,Boxescrackers and chips,2
27884,17095,"8 pro,1 box dairy,3 box,bakery 3 appy",8
27885,17470,Box of 12 tortillas and wraps ,1
27888,17488,Chips,3
28054,17583,Dozen bagels,9
28067,17562,Pastry boxes,10
28079,15485,Prepacked meals large bag ,1
28083,17561,Dairy,2
28084,17561,Meats,2
28085,17561,Produce,4
28086,17561,Bakery,4
28087,17561,Bread,8
28093,17581,Grocery cart bakery items,1
28190,17693,bags of salad mix,10
28194,17665,Large bag bagels,1
28195,17666,Deserts ,2
28201,17637,"Prepared salads, individually wrapped sandwiches",1
28202,17695,Frizen food,2
28203,17695,Dairy,3
28231,17714,Boxes,3
28319,17742,Large Box,1
28320,17752,Bag of bread,1
28322,17729,Grocery,4
28327,17754,Boxes Bakery,3
28331,17700,Bakery,4
28335,17778,Box,1
28356,17779,Dozen fresh apples,1
28454,17817,"Boxes Deli, Salads and Cheese",2
28465,17830,Big bag bagels,1
28466,17828,Bakery Items,1
28469,17865,Frozen,1
28470,17865,Dairy,2
28471,17868,Baked goods,1
28472,17866,Box Breads,1
28475,17861,Big can of black beans,1
28476,17861,Very large container of Tamari,1
28583,17911,Baked goods,3
28601,17882,Potatoes ,2
28619,17943,Box of Bread,4
28631,17939,Bakery,1
28632,17899,Can goods,2
28633,17899,Dairy,2
28638,17938,Bags of Bread,2
28667,17985,Prepared foods,6
28668,17985,Rolls,6
28669,17985,Muffins,3
28670,17985,Snack packs,15
28671,17985,Wraps,16
28672,17985,Salads,16
28673,17985,Packs of prepared sandwiches,4
28674,17978,Box,3
28753,17997,Box frozen meat,1
28754,17998,Deli,1
28755,18000,Boxes Dairy,2
28756,18000,Eappy,1
28757,18000,Gros,6
28758,18012,Grocery cart baked goods,1
28924,18111,Dozen bagels,4
28942,18090,Pastry boxes,10
28949,18091,Boxes of chips,3
28951,18139,Boxes Assorted Bakery,3
28952,18089,Meat,1
28953,18089,Dariy,2
28954,18089,Frozon,3
28964,18145,Gals milk,8
28965,18145,5 oz yogurt,12
28966,18145,Pints ice cream,12
28967,18145,16 oz soda,6
28998,18168,Boxes,3
28999,18168,24 bottles of oj,3
29067,18182,Box of danish & cookies,1
29073,18186,Deli meat.  hoagie.  salad,1
29074,18221,Gros,5
29075,18221,Bake,4
29076,18221,Meats,3
29077,18221,Froz,3
29078,18221,Dairy,2
29106,18233,Large bags ready to eat food,4
29110,18245,Box,1
29188,18256,Box of danish ,1
29195,18254,Deli,1
29196,18254,Grocery,4
29200,18280,Boxes Bakery,3
29205,18304,Box,1
29218,18305,Pieces fresh fruit,19
29321,18385,Large box bread,1
29326,18344,Bag Deli,1
29327,18343,Deli asst items ,3
29334,18391,Cases of water,3
29337,18340,Small bag of prepared salad bowl,1
29339,18355,Bakery Items,1
29340,18392,Dairy,1
29341,18392,Bixes frizen vefgies and bread,2
29342,18392,Bag bakery,1
29343,18368,Flats produce,5
29344,18387,Box oranges some cauliflower,1
29350,18396,Packages of Buns,7
29376,18401,Box,1
29467,18424,Meat,3
29486,18423,Box pastry,1
29492,18443,Bakery ,2
29504,18474,Case of water/miscellaneous,1
29514,18479,Pieces fresh fruit,12
29515,18488,Case pears,1
29518,18497,Sandwiches,6
29519,18497,Salmon meals,8
29520,18497,Salads,11
29522,18472,Box of drinks and dressings,1
29527,18498,Yogurt parfaits,1
29540,18508,Prepared foods,8
29541,18508,Salads,6
29542,18508,Wraps,2
29543,18508,Snack packs,6
29544,18508,Muffins,12
29613,18536,Grocery cart of baked goods,1
29614,18521,Meat,2
29623,18526,Dariy,1
29624,18526,Meats,3
29679,18565,Assorted Deli box,3
29680,18564,Hot foods,1
29804,18609,Dairy,1
29805,18609,Frozon,1
29814,18611,Pastries boxes,2
29818,18663,Boxes Assorted Bakery items,2
29820,18667,Box prepared foods,1
29821,18667,Dairy,5
29840,18690,Boxes,3
31500,19199,Box of danish & cookies,1
31506,19241,Prepared ,3
31507,19241,Frozon,1
31508,19241,Bake,4
31509,19241,Meat,2
31510,19202,Lunch meat,20
31511,19202,Soup,10
31515,19226,Box of bagels ,1
31528,19248,"Small bags, sushi, japanese fare",2
31529,19248,Large bags various pasteries,2
31530,19209,Chips,1
31627,19276,Box pastries muffins,1
31633,19281,Box bakery,1
31638,19274,Deli,2
31639,19274,Grocery,5
31640,19274,Dairy,4
31641,19274,Juice and creamers,1
31643,19309,Boxes Bakery,4
31650,19255,Boxes assorted bakery,4
31763,19366,Boxes deli,2
31774,19414,Dairy/sour cream,3
31776,19377,Bakery Items,1
31778,19363,Small Boxes of sliced deli meat ,2
31779,19363,Small containers refrid. Soup,10
31802,19430,Medium box. Ready to eat food ,1
31904,19462,Baked goods,2
31905,19445,Large bags of bagels,3
31920,19497,Boxes of bread,3
31921,19497,Pisces of meat,6
31922,19497,Box of pastries,1
31934,19501,Small bags fish trimming,2
31937,19499,Dozen pieces fresh fruit,2
31958,19524,Snack packs,8
31959,19524,Salads,26
31960,19524,Sandwiches,10
31961,19524,Muffins,6
31962,19524,Prepared food trays,6
31963,19524,Small prepared foods,5
32047,19542,Frozen meat ,1
32048,19577,Frozen Meats,2
32049,19577,Other: non food items,1
32050,19577,"Cereal, crackers, cookies",1
32051,19556,Grocery cart of baked goods,1
32052,19547,Dariy,1
32053,19547,Gros,1
32054,19544,Deli,1
32055,19541,Frozen,2
32058,19583,Salad,3
32059,19583,muffins,3
32104,19612,bread,2
32105,19589,Dairy,1
32115,19586,Boxes of prepared foods and lunch meat,3
32116,19616,Various produce and non-perishables,4
32120,19606,Huge bag of discontinued chips!,2
32121,19611,Bakery,2
32214,19639,Big bag of biscuits,1
32228,19636,Grocery boxes,3
32230,19631,Assorted baked goods 1 bag ,1
32245,19684,Boxed crackers,18
32246,19684,Dozen eggs,10
32247,19684,Bagged salad mix,8
32248,19684,Misc box food items,1
32249,19684,Packaged lunch meats,10
32250,19650,Dozen bagels,5
32253,19686,Boxes Assorted Bakery,2
32254,19633,2 boxes of dairy items,2
32350,19726,Box of danish  & cookies,1
32353,19749,Large bag bagels,1
32358,19766,Box misc food items,1
32359,19754,Sack of potatoes ,2
32375,19778,Large bags ready to eat food,3
32477,19806,Box of bread,1
32478,19805,Grocery,8
32490,19854,Boxes of pastries,6
32491,19834,Bakery,2
32601,19891,Meat,3
32606,19895,Bag deli meat,1
32615,19916,Dozen bagels,10
32621,19935,Bakery Items,1
32622,19937,Large bag bagels,1
32625,19905,Bread products ,3
32627,19951,Loaves of bread,6
32635,19941,Large crate sandwiches/salads,1
32644,19953,Shopping cart fulls of buns,1
32648,19962,Large bags Chicken and Bread Mixed,2
32745,20026,Boxes pastries,6
32746,19977,Medium size box bagels,1
32765,20030,Small bag seafood,1
32769,20029,Large bag of lettuce,3
32875,20077,Frozen meat,2
32876,20077,Deli,2
32933,20124,Dairy,1
32937,20143,Bakery,1
33032,20168,Deli boxes,2
33047,20183,Dozen bagels,12
33061,20166,Dairy,2
33062,20166,Frozen,1
33071,20226,Flats produce,3
33072,20226,Boxes frozen tater tots,5
33073,20226,Box dairy,1
33074,20226,Boxes cleaning products,4
33075,20216,Box of bakery items,1
33097,20244,Box,1
33174,20268,Veggie/cans,5
33175,20268,Plastic sandwich bags,6
33176,20268,Wisher sauce,2
33187,20275,Small bag bagels,1
33188,20309,Meat,3
33189,20305,Bag bakery,1
33190,20305,Box produce,1
33203,20317,HUGE garbage type bins full,2
33309,20355,Box pastries cookies ,1
33315,20391,Boxes bakery,4
33317,20366,Pot pie,1
33318,20320,Boxes Assorted Bakery,2
33323,20353,Deli,1
33324,20353,Grocery,5
33325,20353,Mixed yugarts and juice,3
33333,20318,Box assorted bakery,1
33340,20273,Bag cooked spaghetti ,1
33341,20407,Bottles of flavored tea,32
33342,20407,Cans of sparkling juice,9
33343,20407,Bottles of flavored water,8
33344,20407,Cartons of milk,4
33345,20407,Bottles of orange drink,6
33366,20338,Tray leftovers,1
33461,20443,Meat,3
33475,20486,Bixes Assorted Bakery,2
33476,20500,Box of can goods,1
33479,20487,Large buggy of bakery items,1
33481,20463,Large bag Bagels,1
33483,20415,Bags of carrot dip,3
33484,20475,Bred,3
33489,20448,Bag of breads and rolls ,18
33490,20448,Small Bag of lunch meat ends ,1
33491,20502,Prepared food,1
33611,20555,Baked goods,4
33619,20539,Meats,3
33628,20590,Boxes of bread,2
33629,20590,Box of crackers,1
33646,20516,Cases of yams,2
33652,20593,Box of juice & tea,1
33661,20620,Prepared foods,11
33662,20620,Salads,23
33663,20620,Sandwiches,15
33762,20647,Frozen meat,1
33763,20659,Box of Pastries ,1
33826,20703,Pastry,1
33827,20696,Box of dairy ,1
33924,20771,Dozen bagels,4
33942,20797,Box misc food items,1
33943,20797,Box milk & cheese,1
33944,20797,"Box lunch meat, cheese & bread",1
33945,20797,Cases chocolate candies,2
33946,20748,Grocery bag,1
33952,20742,Frozon,2
33953,20742,Meets,2
33954,20742,Dairy,1
33960,20790,Eggs,2
33961,20790,Deli,1
33962,20769,Grocery carts bakery items,1
33969,20802,Box juice,1
33970,20802,Oz dairy,64
33992,20820,Boxes,4
34067,20832,Box cookies &  danish,1
34068,20833,Grocery,1
34069,20857,Medium bags bagels,2
34074,20874,Meats,3
34075,20874,Prepared foods,2
34083,20871,Sandwiches,14
34084,20871,Oz juice,150
34085,20871,Oz dairy,50
34115,20898,Box,1
34815,21105,Bags assorted bread,2
34816,21104,Box of pastries,1
34874,21102,Milk,4
34880,21151,Bakery,10
34882,20883,Soup,2
34883,20883,Boxes sliced tomatoes,2
34886,21158,48 oz case of cream cheese,4
34888,20884,Bakery,4
34907,21161,"Bags of bread, rolls",2
34914,21185,Sandwiches,2
34998,21191,Deli,1
34999,21211,Boxes Assorted Bakery,2
35000,21209,Dozen bagels,12
35009,21243,Dairy,2
35015,21210,12 pack jelly,1
35016,21210,Box potato chips,1
35021,21195,Small bags of. Deli cut meat,2
35022,21195,Hoagies,3
35023,21195,5lb of flour,4
35024,21195,Individial boxes ziplock bag,5
35026,21237,Bread,3
35058,21265,Box,1
35148,21296,Chips,1
35149,21296,Boxes of dairy,2
35156,21329,Dessert item,1
35157,21295,Large bags,2
35177,21346,Bottled sparkling water ,10
35178,21346,Small containers of fresh veggies,3
35198,21364,Prepared foods/sandwiches,14
35199,21364,Muffins,12
35200,21364,Salads,8
35201,21364,Snack packs,14
35202,21364,Sandwiches,6
35203,21364,Soup,12
35276,21382,Meat,2
35284,21400,Grocery cart of baked goods,1
35285,21388,Frozen,1
35286,21383,Deli,1
35287,21416,Bakery,2
35289,21387,Meat,6
35348,21431,Dairy,1
35465,21501,Dozen bagels,9
35468,21475,Egs,3
35469,21475,Deli,1
35470,21523,Bread and bakery items,3
35481,21499,Grocery cart bakery items,1
35482,21529,Boxes of assorted bakery items,2
35483,21528,"Box misc crackers, lunch meats, cheeses",1
35484,21528,Box bagged salad mix,1
35485,21528,Gallons milk,3
35486,21528,Dozen eggs,3
35487,21528,Jars coffee,5
35488,21528,Box misc food items,1
35489,21474,Dairy,1
35490,21474,Frozen,1
35491,21474,Meats,4
35496,21531,BagsBread and rolls,2
35505,21538,Friut/veg,4
35508,21533,Box beverage,1
35509,21533,Box frozen veg,1
35510,21533,Boxes dairy,2
35511,21538,Boxes yogurt fruit eggs,3
35512,21470,Dairy/yogurt,3
35543,21555,Boxes,2
35613,21577,Bruschetts,2
35615,21576,Box of cookies & danish,1
35631,17785,Bags of breakfast sandwhiches ,2
35641,21639,large bags glass noodles,5
35764,21668,Deli,1
35765,21668,Yugart,1
35766,21704,Boxes Bakery,5
35771,21638,Misc Bakery,4
35779,21721,Boxes,3
35784,21634,Boxes Assorted Bakery,3
35787,21694,Trays of cupcakes,2
35793,21722,Loaf of bread ,1
35794,21722,Hot dog buns,6
35795,21722,Dozen apples,1
35908,21803,Dozen bagels,6
35913,21814,Boxes of cans goods,3
35919,21757,Assorted crackers,4
35920,21765,Packages lunch meat,6
35921,21743,Gallons of Rice,1
35922,21799,Bread,3
35925,21791,Boxes produce,2
35926,21647,Cases green beans 180 lbs total,6
35928,21758,Meat,1
35929,21750,Cases green beans ,3
36029,21864,Baked Goods,2
36030,21843,Dairy,1
36031,21848,Medium bags of bread,5
36040,21824,Carrots 50 lbs,1
36041,21824,Napa cabbage 30 lbs,1
36042,21824,Whole grapes 50/2oz,1
36070,21893,Mears,4
36071,21893,Bakery,1
36083,21915,Boxes,5
36154,21933,Egg,1
36158,21934,Frozen meat ,2
36166,21937,Deli,1
36167,21940,Meat,2
36168,21940,Dairy,7
36214,21978,Deli foods,1
36227,21984,1pastry,1
36341,22065,Dozen bagels,6
36342,22033,Cupcakes,3
36343,22082,Box loaf bread & buns,1
36344,22082,"Box bagged salad mix, bagged spinach & bagged baby carrots",1
36345,22082,"Box eggs, yogurt & cheese",1
36346,22082,Case cracker snacks,1
36347,22082,12pk gatorade,2
36348,22082,Case iced tea bottles,1
36349,22082,Large bottles powdered coffee creamer,3
36350,22082,Box misc food items,1
36351,22082,Case organic apricot jelly,1
36362,22074,Bakery,4
36363,22028,Deli,1
36364,22028,Eggs,2
36365,22026,Dairy,3
36366,22026,Frozen,3
36367,22058,Grocery carts bakery items,1
36371,22086,Boxes dairy,2
36387,22093,Cases of nacho chips,2
36395,22098,Gallons milk,7
36396,22098,Dz eggs,10
36399,22105,Boxes,2
36483,22116,Box of cookies & danish,1
36484,22118,Chips,3
36489,22152,Large bag bagels,1
36491,22129,Large bag bagels,1
36493,22159,Meats,6
36494,22125,"Crackers, soda",1